time,temp_c,is_day,wind_kph,wind_dir,pressure_mb,precip_mm,humidity,cloud,feelslike_c,dewpoint_c,will_it_rain,chance_of_rain,vis_km,uv,condition.text
2025-09-19 00:00,28.6,0,12.2,SSW,1007.0,0.02,76,65,32.9,23.9,0,65,10.0,0.0,Patchy rain nearby
2025-09-19 01:00,28.2,0,11.5,SSW,1007.0,0.4,76,88,32.2,23.7,1,100,10.0,0.0,Light rain shower
2025-09-19 02:00,28.0,0,11.2,SSW,1006.0,0.58,77,55,31.8,23.5,1,100,10.0,0.0,Light rain shower
2025-09-19 03:00,27.6,0,11.5,SSW,1006.0,1.15,78,68,31.2,23.4,1,100,10.0,0.0,Light rain shower
2025-09-19 04:00,27.3,0,11.9,SW,1006.0,1.33,80,81,30.7,23.4,1,100,10.0,0.0,Light rain shower
2025-09-19 05:00,26.1,0,13.0,SW,1006.0,0.5,84,50,30.9,23.2,1,100,5.0,0.0,Mist
2025-09-19 06:00,27.8,1,15.5,WSW,1008.0,1.17,75,86,31.3,23.1,1,100,9.0,0.1,Patchy rain nearby
2025-09-19 07:00,27.6,1,24.8,WSW,1009.0,1.27,75,88,30.8,22.8,1,100,10.0,0.7,Light rain shower
2025-09-19 08:00,27.8,1,25.6,WSW,1009.0,0.61,73,85,30.9,22.5,1,100,9.0,2.6,Patchy rain nearby
2025-09-19 09:00,29.2,1,26.6,WSW,1010.0,0.1,67,70,32.7,22.5,1,100,10.0,5.5,Patchy rain nearby
2025-09-19 10:00,30.1,1,25.9,SW,1009.0,0.6,64,71,33.9,22.4,1,100,10.0,8.8,Light rain shower
2025-09-19 11:00,30.1,1,26.3,SSW,1009.0,0.48,65,81,34.2,22.7,1,100,9.0,11.3,Patchy rain nearby
2025-09-19 12:00,30.4,1,24.1,SSW,1007.0,0.0,63,80,34.4,22.6,0,0,10.0,11.4,Cloudy 
2025-09-19 13:00,30.5,1,22.7,SSW,1006.0,0.03,63,57,34.7,22.7,1,72,10.0,8.5,Patchy rain nearby
2025-09-19 14:00,30.7,1,23.4,SSW,1005.0,0.0,63,62,35.2,22.9,0,0,10.0,6.5,Partly Cloudy 
2025-09-19 15:00,30.4,1,24.8,SSW,1005.0,0.5,64,55,34.6,22.9,1,100,10.0,3.6,Light rain shower
2025-09-19 16:00,30.0,1,21.6,SW,1005.0,0.35,65,89,34.0,22.7,1,100,9.0,1.2,Patchy rain nearby
2025-09-19 17:00,29.2,1,18.7,SSW,1006.0,0.62,68,71,33.0,22.7,1,100,9.0,0.2,Patchy rain nearby
2025-09-19 18:00,28.0,0,20.9,SW,1007.0,0.86,74,76,31.5,22.9,1,100,10.0,0.0,Light rain shower
2025-09-19 19:00,27.4,0,20.2,SW,1008.0,0.43,78,79,30.8,23.2,1,100,9.0,0.0,Patchy rain nearby
2025-09-19 20:00,26.9,0,21.2,SW,1008.0,0.09,81,70,30.1,23.3,1,100,10.0,0.0,Patchy rain nearby
2025-09-19 21:00,26.5,0,21.2,SW,1009.0,0.64,83,82,29.6,23.3,1,100,9.0,0.0,Patchy rain nearby
2025-09-19 22:00,26.3,0,21.6,SW,1009.0,0.27,83,70,29.3,23.2,1,100,9.0,0.0,Patchy rain nearby
2025-09-19 23:00,26.3,0,21.6,SW,1008.0,0.85,83,79,29.3,23.2,1,100,10.0,0.0,Light rain shower
